"model","num_param","memT","memR","memA","memM","energy","co2","train_time","infer_time","test_00","inf_time","tr_acc","test_01","test_02","test_03","test_04","test_05","test_06","test_07","test_08","test_09","type","efficient","dataset"
"dla102x",26309272,25.435111424,9.065988096,0.438002176,7.980040704,0.072770387135,5.676090196563,45.4659390449524,0,0.599798387096774,3.26473121643066,0.718561275364601,0.609879032258065,0.619959677419355,0.598286290322581,0.545362903225807,0.635584677419355,0.645665322580645,0.604838709677419,0.665826612903226,0.511592741935484,"CNN",0,"derma"
"darknetaa53",36022984,25.435111424,5.637144576,0.607592448,4.551947264,0.04150174181,2.656111475838,26.1558089256287,0,0.686995967741936,2.01114962100983,0.725405987539248,0.679939516129032,0.68195564516129,0.689012096774194,0.665826612903226,0.6875,0.688004032258065,0.6875,0.547379032258065,0.564012096774194,"CNN",0,"derma"
"vgg13",133047848,25.435111424,7.941914624,2.108507136,5.30769408,0.063677823927,3.374924668148,40.064576625824,0,0.668850806451613,2.98371148109436,0.764941449306871,0.670866935483871,0.675403225806452,0.683971774193548,0.684475806451613,0.683467741935484,0.694052419354839,0.703629032258065,0.675403225806452,0.655241935483871,"CNN",0,"derma"
"dla60",22036632,25.435111424,5.3477376,0.366935552,4.423618048,0.038594894121,3.184078764996,23.9978277683258,0,0.645161290322581,1.88409695625305,0.767224554329702,0.661290322580645,0.66633064516129,0.670866935483871,0.678427419354839,0.678427419354839,0.676411290322581,0.659778225806452,0.646673387096774,0.658770161290323,"CNN",0,"derma"
"ghostnet_100",5182508,25.435111424,2.021654528,0.105186304,1.895246848,0.017475087871,1.039767728328,11.5609166622162,0,0.686491935483871,0.996599864959717,0.903106127427593,0.692540322580645,0.682963709677419,0.658770161290323,0.684475806451613,0.65625,0.673891129032258,0.662298387096774,0.668346774193548,0.660786290322581,"CNN",1,"derma"
"dla102x2",41282200,25.435111424,13.849591808,0.678949376,11.667866112,0.112380753998,6.911416370848,69.4459252357483,0,0.558971774193548,4.81009292602539,0.693714096121592,0.575604838709677,0.572076612903226,0.625504032258065,0.632056451612903,0.663810483870968,0.673891129032258,0.655241935483871,0.646673387096774,0.661290322580645,"CNN",0,"derma"
"dm_nfnet_f0",71489284,25.435111424,7.226785792,1.167955968,6.55957504,0.078566681819,5.26396768184,48.1310918331146,0,0.669354838709677,3.94274842739105,0.66903722939426,0.669354838709677,0.653225806451613,0.660786290322581,0.656754032258065,0.661290322580645,0.651713709677419,0.663306451612903,0.665826612903226,0.663810483870968,"CNN",0,"derma"
"dla60x",17352344,25.435111424,6.824132608,0.290201088,5.580062208,0.050303661102,3.823078243732,31.597273349762,0,0.652217741935484,2.14248850345612,0.749659375512981,0.663306451612903,0.670362903225807,0.658266129032258,0.67741935483871,0.680443548387097,0.684979838709677,0.685483870967742,0.678427419354839,0.665322580645161,"CNN",0,"derma"
"hardcorenas_a",5260232,25.435111424,2.353004544,0.107344896,2.104851968,0.014458044044,1.373514184204,9.78730034828186,0,0.659778225806452,0.734523296356201,0.962043378995434,0.669354838709677,0.683467741935484,0.683467741935484,0.647177419354839,0.683467741935484,0.682963709677419,0.6875,0.685483870967742,0.665826612903226,"Other",1,"derma"
"regnetv_040",20640640,25.435111424,7.2351744,0.369963008,6.716689408,0.044023987265,3.47789499397,27.569746017456,0,0.633568548387097,2.02719480991364,0.669755302607741,0.649697580645161,0.669858870967742,0.670362903225807,0.662802419354839,0.669354838709677,0.668850806451613,0.668850806451613,0.669354838709677,0.669354838709677,"CNN",0,"derma"
"twins_pcpvt_base",43828456,25.435111424,8.361345024,0.776287232,7.932153856,0.076463869952,4.052585107434,47.795440196991,0,0.668850806451613,4.2752191066742,0.669755302607741,0.669354838709677,0.666834677419355,0.673387096774194,0.669354838709677,0.669354838709677,0.669354838709677,0.669354838709677,0.669354838709677,0.669354838709677,"Other",0,"derma"
"fbnetv3_b",8598464,25.435111424,4.034920448,0.149295616,3.768149504,0.023994312866,1.283695738356,15.2676424980164,0,0.65070564516129,1.10237946510315,0.690731330005001,0.654737903225807,0.675907258064516,0.665322580645161,0.668850806451613,0.665826612903226,0.675907258064516,0.678427419354839,0.685987903225807,0.671875,"CNN",1,"derma"
"sequencer2d_l",54298216,25.435111424,14.277410816,0.945582592,13.585209344,0.153429265658,9.857830318505,93.6829702854156,0,0.669354838709677,8.79113502502441,0.66932722041596,0.669354838709677,0.669354838709677,0.669354838709677,0.669354838709677,0.669354838709677,0.669354838709677,0.669354838709677,0.669354838709677,0.672379032258065,"Other",0,"derma"
"dla169",53389720,25.435111424,10.13972992,0.875867136,9.173154816,0.085615221371,5.479374167756,52.846438407898,0,0.614415322580645,4.35807981491089,0.732397996671668,0.638608870967742,0.640120967741936,0.636592741935484,0.598286290322581,0.648689516129032,0.667338709677419,0.679435483870968,0.677923387096774,0.674395161290323,"CNN",0,"derma"
"fbnetc_100",5572200,25.435111424,3.070230528,0.100230656,2.377075712,0.018474631402,1.08076593701,11.9808418750763,0,0.659274193548387,0.825207018852234,0.757954043340465,0.670362903225807,0.683467741935484,0.675403225806452,0.699092741935484,0.695564516129032,0.704133064516129,0.664314516129032,0.680947580645161,0.675403225806452,"CNN",1,"derma"
"efficientnet_b0",5288548,25.435111424,4.527751168,0.108824064,3.88640256,0.02168154435,1.27921111664,13.7447991371155,0,0.637096774193548,0.912410044670105,0.946489726027397,0.675907258064516,0.686995967741936,0.678931451612903,0.654737903225807,0.655241935483871,0.668346774193548,0.673891129032258,0.690524193548387,0.679435483870968,"CNN",1,"derma"
"mobilevitv2_050",1370593,25.435111424,3.091202048,0.060189184,2.885807104,0.015260823594,1.434517417794,9.93356704711914,0,0.664818548387097,0.875800967216492,0.846023898690803,0.697076612903226,0.707661290322581,0.692540322580645,0.686995967741936,0.665322580645161,0.69304435483871,0.679435483870968,0.680947580645161,0.681451612903226,"Other",1,"derma"
"seresnext26ts",10388064,25.435111424,4.829741056,0.17604352,4.012693504,0.030692617803,1.626708743564,19.3814880847931,0,0.698084677419355,1.82892010211945,0.816605906508284,0.710181451612903,0.726310483870968,0.730342741935484,0.747983870967742,0.745463709677419,0.72429435483871,0.742943548387097,0.715221774193548,0.682963709677419,"Other",0,"derma"
"efficientnetv2_rw_m",53236442,25.435111424,13.470007296,0.87757312,12.84975872,0.08272163825,5.376906486253,51.6129405498505,0,0.666834677419355,3.50520923137665,0.787500920361036,0.680947580645161,0.671370967741936,0.652721774193548,0.676411290322581,0.710685483870968,0.713709677419355,0.705645161290323,0.68195564516129,0.683467741935484,"CNN",1,"derma"
"mobilenetv2_050",1968680,25.435111424,2.227175424,0.053615616,1.934996992,0.010582911775,1.010668074531,7.3206934928894,0,0.672379032258065,0.749225664138794,0.719840919046097,0.651209677419355,0.669858870967742,0.674395161290323,0.662802419354839,0.652721774193548,0.671875,0.670866935483871,0.673891129032258,0.684475806451613,"CNN",1,"derma"
"tinynet_a",6187972,25.435111424,4.81296384,0.122365952,4.244470784,0.023763672367,1.342647488743,15.0977430343628,0,0.628024193548387,1.012553358078,0.950057077625571,0.682459677419355,0.688004032258065,0.676411290322581,0.659274193548387,0.675907258064516,0.668850806451613,0.664314516129032,0.674899193548387,0.686491935483871,"CNN",1,"derma"
"poolformer_m36",56172520,25.435111424,11.549016064,0.969255936,10.921517568,0.080478135389,5.231078800273,49.3684372901917,0,0.675907258064516,4.56278445720673,0.711702754508415,0.670866935483871,0.672379032258065,0.673387096774194,0.673891129032258,0.680443548387097,0.6875,0.686491935483871,0.689516129032258,0.686995967741936,"Other",0,"derma"
"spnasnet_100",4421616,25.435111424,2.524971008,0.093261824,2.236968448,0.017314696559,1.644896173128,10.6734893321991,0,0.655745967741936,0.796622586250305,0.751238216003871,0.685483870967742,0.674899193548387,0.67741935483871,0.693548387096774,0.6875,0.690524193548387,0.703629032258065,0.707661290322581,0.689516129032258,"Other",1,"derma"
"ecaresnet26t",16011916,25.435111424,3.854565376,0.268383744,3.391280128,0.027943220234,2.654605922183,17.8235104084015,0,0.694556451612903,1.34590780735016,0.743109257526049,0.696572580645161,0.70866935483871,0.716733870967742,0.722782258064516,0.712701612903226,0.721774193548387,0.727318548387097,0.715725806451613,0.690020161290323,"Other",1,"derma"
"mobilevit_s",5578632,25.435111424,6.744440832,0.122594304,6.263985152,0.036835799683,2.154894281432,23.2007827758789,0,0.692540322580645,1.75820462703705,0.686022425895412,0.69758064516129,0.683467741935484,0.700604838709677,0.712197580645161,0.720262096774194,0.728326612903226,0.732862903225807,0.664818548387097,0.691028225806452,"Other",1,"derma"
"mnasnet_100",4383312,25.435111424,2.342518784,0.094257152,2.041946112,0.015662512706,1.495769963412,9.95937061309814,0,0.663810483870968,0.758874869346619,0.790060207724027,0.683971774193548,0.665322580645161,0.671875,0.701612903225807,0.695060483870968,0.701612903225807,0.680443548387097,0.695564516129032,0.692036290322581,"Other",1,"derma"
"dpn92",37668392,25.435111424,8.438939648,0.60009984,7.16241408,0.093955069276,5.966146899048,57.6673545837402,0,0.661290322580645,4.38238916397095,0.800633377408328,0.698588709677419,0.713709677419355,0.714213709677419,0.713709677419355,0.710181451612903,0.690524193548387,0.710685483870968,0.689516129032258,0.692036290322581,"CNN",0,"derma"
"gluon_xception65",39916312,25.435111424,11.400118272,0.653080576,10.113138176,0.075703251586,4.807156475743,46.6501047611237,0,0.679939516129032,3.45186445713043,0.852873213759296,0.693548387096774,0.700100806451613,0.708165322580645,0.711693548387097,0.706653225806452,0.715725806451613,0.712197580645161,0.680947580645161,0.693548387096774,"CNN",0,"derma"
"dla34",15742104,25.435111424,2.95698432,0.275754496,2.290753024,0.026196202847,1.336006345194,16.5489826202393,0,0.662802419354839,1.25808129310608,0.79778870218965,0.675907258064516,0.672883064516129,0.649697580645161,0.636088709677419,0.584173387096774,0.591733870967742,0.680947580645161,0.683467741935484,0.696068548387097,"CNN",0,"derma"
"xception41p",26907752,25.435111424,6.94157312,0.443983872,5.967741952,0.048984204625,3.845260063042,30.5421998500824,0,0.690020161290323,2.26067159175873,0.915497495703501,0.682459677419355,0.695564516129032,0.714717741935484,0.701612903225807,0.720766129032258,0.701612903225807,0.712197580645161,0.711189516129032,0.700100806451613,"CNN",0,"derma"
"repvgg_a2",28210600,25.435111424,2.413821952,0.480677376,2.080165888,0.036300830731,2.486606905041,22.6061701774597,0,0.670362903225807,1.76869978904724,0.741838819904414,0.675403225806452,0.672883064516129,0.693548387096774,0.699596774193548,0.700100806451613,0.704637096774194,0.709677419354839,0.712197580645161,0.700604838709677,"CNN",1,"derma"
"semnasnet_075",2912278,25.435111424,2.791309312,0.0687744,2.116847616,0.014515844161,1.386263117347,9.72340369224548,0,0.655241935483871,0.821431756019592,0.762230262092259,0.684475806451613,0.691532258064516,0.692540322580645,0.696572580645161,0.699092741935484,0.696068548387097,0.70866935483871,0.674899193548387,0.701108870967742,"Other",1,"derma"
"gluon_resnet152_v1b",60192808,25.435111424,8.793358336,0.985241088,8.217822208,0.082594208275,5.616406162722,50.5466237068176,0,0.671875,4.15395634174347,0.786198261665971,0.695564516129032,0.69758064516129,0.702116935483871,0.721270161290323,0.727318548387097,0.728326612903226,0.726310483870968,0.723286290322581,0.702116935483871,"CNN",0,"derma"
"xception71",42338736,25.435111424,15.139340288,0.69201408,13.566081536,0.097779398368,5.573425706985,60.0471560955048,0,0.66633064516129,4.51085844039917,0.848730483011568,0.691028225806452,0.689012096774194,0.602318548387097,0.673891129032258,0.705645161290323,0.704133064516129,0.683467741935484,0.700100806451613,0.703629032258065,"CNN",0,"derma"
"res2next50",24671464,25.435111424,6.043992064,0.40476928,5.48699904,0.053056355115,4.058811166315,32.7080163955688,0,0.678931451612903,2.32115244865417,0.83487534958478,0.676411290322581,0.709173387096774,0.707661290322581,0.708165322580645,0.722782258064516,0.720766129032258,0.732862903225807,0.734375,0.704133064516129,"CNN",0,"derma"
"dla46_c",1301400,25.435111424,2.520776704,0.042073088,1.88237312,0.01643601201,1.536767122893,10.4643075466156,0,0.598286290322581,0.756959748268127,0.764071475969602,0.667338709677419,0.657762096774194,0.689012096774194,0.717237903225807,0.698084677419355,0.711693548387097,0.695564516129032,0.706149193548387,0.704637096774194,"CNN",0,"derma"
"seresnet33ts",19779200,25.435111424,5.1380224,0.347655168,4.50507008,0.032873812731,2.498409767527,20.380535364151,0,0.669858870967742,1.54006190299988,0.771648070311437,0.683467741935484,0.700604838709677,0.712197580645161,0.722782258064516,0.72883064516129,0.731854838709677,0.720262096774194,0.725302419354839,0.706149193548387,"Other",0,"derma"
"densenetblur121d",7998088,25.435111424,6.83671552,0.154417152,6.432128,0.043679905148,2.336874925429,27.6262190341949,0,0.68195564516129,2.06319973468781,0.765512225562579,0.699596774193548,0.724798387096774,0.724798387096774,0.715221774193548,0.727822580645161,0.72883064516129,0.734375,0.712197580645161,0.706653225806452,"CNN",0,"derma"
"dpn68",12611602,25.435111424,4.496293888,0.22129664,4.234037248,0.042639517645,2.259894435192,26.8806443214417,0,0.679435483870968,1.84610986709595,0.820734828302305,0.691532258064516,0.711189516129032,0.716229838709677,0.729334677419355,0.719254032258065,0.722278225806452,0.716733870967742,0.705141129032258,0.706653225806452,"CNN",0,"derma"
"selecsls42b",32458248,25.435111424,2.71581184,0.550672384,2.488883712,0.024752163914,1.683147146153,15.4976506233215,0,0.684979838709677,1.20441901683807,0.757806746110524,0.679939516129032,0.690020161290323,0.70866935483871,0.70866935483871,0.697076612903226,0.713709677419355,0.698084677419355,0.717237903225807,0.707157258064516,"CNN",0,"derma"
"xception65p",39819560,25.435111424,9.19601152,0.650507776,7.840218112,0.067456757965,4.283504130807,41.7333722114563,0,0.677923387096774,3.10071358680725,0.901246501430529,0.702116935483871,0.716733870967742,0.706653225806452,0.718245967741936,0.717237903225807,0.724798387096774,0.714717741935484,0.738407258064516,0.709173387096774,"CNN",0,"derma"
"nasnetalarge",88753150,25.435111424,21.130903552,1.418934272,20.245244416,0.17460818758,9.472494176191,107.274882078171,0,0.692540322580645,7.37437305450439,0.757226763794956,0.682963709677419,0.719758064516129,0.699596774193548,0.706149193548387,0.717237903225807,0.725806451612903,0.734879032258065,0.729838709677419,0.710685483870968,"Other",0,"derma"
"res2net50_14w_8s",25059816,25.435111424,5.985271808,0.415425024,5.305048576,0.046123623309,3.413148124864,28.8435559272766,0,0.688508064516129,2.2220963716507,0.812058108582344,0.692036290322581,0.707661290322581,0.722278225806452,0.727822580645161,0.740423387096774,0.727318548387097,0.688508064516129,0.67741935483871,0.712701612903226,"CNN",0,"derma"
"res2net101_26w_4s",45206688,25.435111424,8.130658304,0.749280256,7.500149248,0.071879893705,3.917454206907,43.8029897212982,0,0.672883064516129,3.50661156177521,0.800633377408328,0.686995967741936,0.669858870967742,0.729838709677419,0.740423387096774,0.726310483870968,0.737399193548387,0.733366935483871,0.735887096774194,0.712701612903226,"CNN",0,"derma"
"resnet14t",10081632,25.435111424,2.512388096,0.173164032,2.127376384,0.018551189416,0.983213039038,11.5414214134216,0,0.686491935483871,0.87116265296936,0.74038426135773,0.695060483870968,0.694052419354839,0.686491935483871,0.702116935483871,0.702620967741936,0.698084677419355,0.711693548387097,0.698588709677419,0.713709677419355,"CNN",0,"derma"
