model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,type,efficient,dataset,cnn,E_n,pepr_e,C_n,pepr_c,T_n,pepr_t,M_n,pepr_m
hardcorenas_a,5260232,25.435111424,2.350907392,0.0822272,2.089581056,0.018172236396,1.035817474546,11.2712399959564,0,0.575797872340426,0.85634868144989,0.920664612676056,0.638962765957447,0.635970744680851,0.617021276595745,0.606050531914894,0.649601063829787,0.644281914893617,0.650265957446808,0.628656914893617,0.600398936170213,Other,1,derma_pt,False,0.03051272564743258,0.5826215642247453,0.027063762787252643,0.5845780543759487,0.02636151215540125,0.5849780307031882,0.03597409068261085,0.5795501466398698
fbnetv3_b,8598464,25.435111424,4.034920448,0.149295616,3.768149504,0.023994312866,1.283695738356,15.2521965503693,0,0.740927419354839,1.10524914264679,0.69016515664314,0.790826612903226,0.780745967741936,0.777217741935484,0.793850806451613,0.683971774193548,0.741935483870968,0.675907258064516,0.67741935483871,0.60383064516129,CNN,1,derma_pt,True,0.05443283379300555,0.5726591830313085,0.04214542745929236,0.579411116002691,0.052998976535781415,0.5734389668143913,0.11599402092675636,0.5410697851766717
dla46_c,1301400,25.435111424,2.533359616,0.017119232,1.865551872,0.019036466251,1.132669741948,11.8669283390045,0,0.609042553191489,0.892916703224182,0.925946302816901,0.587765957446808,0.610039893617021,0.590425531914894,0.648936170212766,0.587433510638298,0.636635638297872,0.590757978723404,0.644614361702128,0.622007978723404,CNN,0,derma_pt,True,0.034063429885130926,0.6015182055055363,0.032956548210355804,0.6021627722880126,0.030347395146804956,0.603687631621352,0.04464374688589934,0.5954259340350433
dm_nfnet_f0,71489284,25.435111424,7.226785792,1.167955968,6.55957504,0.078142603053,5.5871961183,47.9254374504089,0,0.668850806451613,3.93728578090668,0.032534246575342,0.620967741935484,0.658770161290323,0.654737903225807,0.68195564516129,0.690020161290323,0.711189516129032,0.699596774193548,0.033266129032258,0.633266129032258,CNN,0,derma_pt,True,0.2769020788888034,0.49593946121800053,0.30398343071422945,0.48563970531849454,0.2716228873397362,0.49799837305308736,0.2676631788739412,0.4995539348194882
mobilevitv2_050,1370593,25.435111424,3.097493504,0.035255808,2.86905856,0.018340003461,1.091230205904,11.3941447734833,0,0.625997340425532,0.939352416992188,0.978102992957746,0.679521276595745,0.662898936170213,0.645279255319149,0.649933510638298,0.650265957446808,0.655917553191489,0.654587765957447,0.656582446808511,0.653257978723404,Other,1,derma_pt,False,0.031201999716356878,0.6334917687350194,0.0304352412705123,0.6339631570810272,0.02718389531603189,0.6359698411377616,0.07144992526158445,0.609695295432418
semnasnet_075,2912278,25.435111424,2.797600768,0.043697664,2.101021696,0.017971334176,1.051323049286,11.1877229213715,0,0.638962765957447,0.895846772193909,0.972821302816901,0.644946808510638,0.641622340425532,0.653922872340426,0.654587765957447,0.636968085106383,0.645279255319149,0.649601063829787,0.652593085106383,0.654920212765957,Other,1,derma_pt,False,0.029687315185401034,0.6360379535684917,0.02800716893824608,0.6370774762615483,0.025802680862218028,0.6384465794293663,0.05719980069755854,0.6194857512589669
spnasnet_100,4421616,25.435111424,2.531262464,0.068013056,2.220913152,0.020157601035,1.169140860031,12.4346008300781,0,0.655917553191489,0.994013953208923,0.950924295774648,0.646276595744681,0.638962765957447,0.646609042553192,0.677526595744681,0.639960106382979,0.654587765957447,0.66123670212766,0.655917553191489,0.658577127659574,Other,1,derma_pt,False,0.03866963274372093,0.6340583250902357,0.0351755615465303,0.636198488569102,0.03414581785099966,0.6368319789061528,0.044544095665171896,0.6304924132859974
sequencer2d_l,54298216,25.435111424,14.277410816,0.945582592,13.585209344,0.15280848617,10.887604639612,93.8629693984985,0,0.669354838709677,8.79686753749848,0.727541795604305,0.669354838709677,0.665826612903226,0.667842741935484,0.670362903225807,0.672883064516129,0.675907258064516,0.699596774193548,0.709173387096774,0.665826612903226,Other,0,derma_pt,False,0.5836682315057152,0.42043314354432265,0.6264763460451322,0.40936753523789043,0.5790011152265448,0.42167583447697404,0.6026905829596412,0.41544301812372525
resnet18d,11708744,25.435111424,1.728053248,0.199392256,1.464306688,0.020417613515,1.122968743314,12.5149028301239,0,0.658909574468085,1.0893670797348,0.979093309859155,0.672872340425532,0.650265957446808,0.654255319148936,0.668218085106383,0.656582446808511,0.684840425531915,0.671542553191489,0.678523936170213,0.668882978723404,CNN,0,derma_pt,True,0.03973789879499088,0.6433188397754944,0.03236631005823591,0.6479124436806468,0.03468313636645096,0.6464616607866579,0.006377678126557043,0.6646440926318803
vgg11,132863336,25.435111424,6.3438848,2.105291776,4.5001728,0.046234038779,4.554052819712,29.1979086399078,0,0.650201612903226,2.09705159664154,0.681608115973538,0.643649193548387,0.650201612903226,0.661290322580645,0.649193548387097,0.667338709677419,0.65070564516129,0.689012096774194,0.684979838709677,0.672883064516129,CNN,0,derma_pt,True,0.14580515631539617,0.5872578429302426,0.241123861875985,0.5421562546537877,0.14631283313447604,0.5869977593081624,0.22571001494768306,0.5489741099527932
