model,num_param,memT,memR,memA,efficient,type,cnn,M_n,top1,top5,pepr_m
hardcorenas_a,5260232,25.435111424,2.350907392,0.0822272,1,Other,False,0.0359740906826108,75.926,92.486,0.7328947768372452
fbnetv3_b,8598464,25.435111424,4.034920448,0.149295616,1,CNN,True,0.1159940209267563,79.154,94.732,0.7092690329493705
dla46_c,1301400,25.435111424,2.533359616,0.017119232,0,CNN,True,0.0446437468858993,64.88,86.33,0.621072975293332
dm_nfnet_f0,71489284,25.435111424,7.226785792,1.167955968,0,CNN,True,0.2676631788739412,83.47,96.568,0.6584556638629039
mobilevitv2_050,1370593,25.435111424,3.097493504,0.035255808,1,Other,False,0.0714499252615844,70.158,89.936,0.6547949497767858
semnasnet_075,2912278,25.435111424,2.797600768,0.043697664,1,Other,False,0.0571998006975585,73.008,91.126,0.6905790178150627
spnasnet_100,4421616,25.435111424,2.531262464,0.068013056,1,Other,False,0.0445440956651718,74.082,91.828,0.7092280767029193
sequencer2d_l,54298216,25.435111424,14.277410816,0.945582592,0,Other,False,0.6026905829596412,83.41,96.504,0.5204373251259093
resnet18d,11708744,25.435111424,1.728053248,0.199392256,0,CNN,True,0.006377678126557,73.794,91.834,0.7332634815328251
vgg11,132863336,25.435111424,6.3438848,2.105291776,0,CNN,True,0.225710014947683,70.384,89.808,0.5742304390243903
twins_pcpvt_base,43828456,25.435111424,8.361345024,0.776287232,0,Other,False,0.3215744892874937,82.722,96.348,0.6259352058513045
swinv2_base_window8_256,87918816,25.435111424,14.168358912,1.448608768,0,Other,False,0.5975087194818136,84.246,96.902,0.5273586239161624
dpn107,86917800,25.435111424,16.571695104,1.399316992,0,CNN,True,0.7117090184354757,80.168,94.936,0.46835063165861335
convnext_tiny_hnf,28589128,25.435111424,5.51550976,0.496233472,0,CNN,True,0.1863477827603387,82.608,96.024,0.6963219487610248
dpn98,61570728,25.435111424,12.127830016,0.9885952,0,CNN,True,0.5005480817140009,79.656,94.642,0.5308460353300571
dla46x_c,1068440,25.435111424,3.001024512,0.038321152,0,CNN,True,0.0668659691081215,66.008,86.946,0.6187093966000374
gluon_resnet152_v1b,60192808,25.435111424,8.793358336,0.985241088,0,CNN,True,0.3421026407573492,0.0,0.0,0.0
vgg13,133047848,25.435111424,7.941914624,2.108507136,0,CNN,True,0.3016442451420029,71.556,90.372,0.5497354616444649
maxxvit_rmlp_nano_rw_256,16779628,25.435111424,6.67942912,0.306484224,0,Other,False,0.2416542102640757,83.026,96.344,0.6686724799357945
sebotnet33ts_256,13701984,25.435111424,6.786383872,0.24574464,0,Other,False,0.2467364225211758,81.152,95.16,0.6509154504036448
res2net101_26w_4s,45206688,25.435111424,8.130658304,0.749280256,0,CNN,True,0.3106128550074738,79.186,94.464,0.6041906250000001
dla169,53389720,25.435111424,10.13972992,0.875867136,0,CNN,True,0.4060787244643746,78.706,94.338,0.5597552870304748
dpn131,79254504,25.435111424,16.313745408,1.272774144,0,CNN,True,0.6994519182859988,79.834,94.708,0.469763216840624
ecaresnetlight,30162046,25.435111424,4.179623936,0.495186432,0,Other,False,0.1228699551569506,81.416,95.794,0.725070607028754
dpn92,37668392,25.435111424,8.438939648,0.60009984,0,CNN,True,0.3252615844544095,80.028,94.878,0.6038656891495602
gluon_resnet34_v1b,21797672,25.435111424,2.292187136,0.389481472,0,CNN,True,0.0331838565022421,0.0,0.0,0.0
dla60x,17352344,25.435111424,6.824132608,0.290201088,0,CNN,True,0.24853014449427,78.23,94.02,0.6265767818660707
convnext_atto,3695520,25.435111424,1.59383552,0.09845248,0,CNN,True,0.0,77.22,93.7,0.7722
halo2botnet50ts_256,22635360,25.435111424,7.279214592,0.377660928,0,Other,False,0.2701544593921275,82.084,95.658,0.6462521104660286
