model,num_param,type,efficient,link
dla46x_c,1068440,CNN,0,https://arxiv.org/abs/1707.06484
dla46_c,1301400,CNN,0,https://arxiv.org/abs/1707.06484
mobilevitv2_050,1370593,Other,1,https://arxiv.org/abs/2206.02680
mobilenetv2_050,1968680,CNN,1,https://arxiv.org/abs/1801.04381
semnasnet_075,2912278,Other,1,https://arxiv.org/abs/1807.11626
pvt_v2_b0,3666760,Other,1,https://arxiv.org/abs/2106.13797
convnext_atto,3695520,CNN,0,https://arxiv.org/abs/2201.03545
mnasnet_100,4383312,Other,1,https://arxiv.org/abs/1807.11626
spnasnet_100,4421616,Other,1,https://arxiv.org/abs/1904.02877
ghostnet_100,5182508,CNN,1,https://arxiv.org/abs/1911.11907
hardcorenas_a,5260232,Other,1,https://arxiv.org/abs/2102.11646
efficientnet_b0,5288548,CNN,1,https://arxiv.org/abs/1905.11946
fbnetc_100,5572200,CNN,1,https://arxiv.org/abs/1812.03443
mobilevit_s,5578632,Other,1,https://arxiv.org/abs/2206.02680
tinynet_a,6187972,CNN,1,https://arxiv.org/abs/2010.14819
ese_vovnet19b_dw,6543080,CNN,1,https://arxiv.org/abs/1904.09730
densenet121,7978856,CNN,0,https://arxiv.org/abs/1608.06993
densenetblur121d,7998088,CNN,0,https://arxiv.org/abs/1608.06993
crossvit_9_240,8553296,Other,1,https://arxiv.org/abs/2103.14899
fbnetv3_b,8598464,CNN,1,https://arxiv.org/abs/1812.03443
resnet14t,10081632,CNN,0,https://arxiv.org/abs/2110.00476
seresnext26ts,10388064,Other,0,https://arxiv.org/abs/1709.01507
gcresnext26ts,10476600,Other,0,https://arxiv.org/abs/1904.11492
eca_botnext26ts_256,10593301,Other,0,https://arxiv.org/abs/2101.11605
bat_resnext26ts,10731200,Other,0,https://openaccess.thecvf.com/content_CVPR_2020/html/Chi_Non-Local_Neural_Networks_With_Grouped_Bilinear_Attentional_Transforms_CVPR_2020_paper.html
lambda_resnet26rpt_256,10988688,Other,0,https://arxiv.org/abs/2102.08602
resnet18d,11708744,CNN,0,https://arxiv.org/abs/1512.03385
halonet26t,12480288,Other,0,https://arxiv.org/abs/2103.12731
botnet26t_256,12488672,Other,0,https://arxiv.org/abs/2101.11605
dpn68,12611602,CNN,0,https://arxiv.org/abs/1707.01629
dpn68b,12611602,CNN,0,https://arxiv.org/abs/1707.01629
gc_efficientnetv2_rw_t,13677713,Other,1,https://arxiv.org/abs/2104.00298
sehalonet33ts,13691712,Other,0,https://arxiv.org/abs/2103.12731
sebotnet33ts_256,13701984,Other,0,https://arxiv.org/abs/2101.11605
densenet169,14149480,CNN,0,https://arxiv.org/abs/1608.06993
maxvit_nano_rw_256,15451148,Other,0,https://arxiv.org/abs/2204.01697
gcresnext50ts,15667320,Other,0,https://arxiv.org/abs/1904.11492
dla34,15742104,CNN,0,https://arxiv.org/abs/1707.06484
ecaresnet26t,16011916,Other,1,https://arxiv.org/abs/1910.03151
resnet26d,16014408,CNN,0,https://arxiv.org/abs/1512.03385
maxxvit_rmlp_nano_rw_256,16779628,Other,0,https://arxiv.org/abs/2204.01697
seresnext26t_32x4d,16806976,Other,0,https://arxiv.org/abs/1709.01507
seresnext26d_32x4d,16809512,Other,0,https://arxiv.org/abs/1709.01507
dla60x,17352344,CNN,0,https://arxiv.org/abs/1707.06484
resnet32ts,17963616,CNN,0,https://arxiv.org/abs/1512.03385
edgenext_base,18511292,Other,1,https://arxiv.org/abs/2206.10589
eca_resnet33ts,19676302,Other,1,https://arxiv.org/abs/1910.03151
seresnet33ts,19779200,Other,0,https://arxiv.org/abs/1709.01507
gcresnet33ts,19880698,Other,0,https://arxiv.org/abs/1904.11492
densenet201,20013928,CNN,0,https://arxiv.org/abs/1608.06993
cspresnext50,20569896,CNN,0,https://arxiv.org/abs/1911.11929
regnetv_040,20640640,CNN,0,https://arxiv.org/abs/2003.13678
convmixer_768_32,21110248,CNN,0,https://arxiv.org/abs/2201.09792
cs3darknet_focus_l,21151720,CNN,0,https://arxiv.org/abs/1911.11929
hrnet_w18,21299004,CNN,0,https://arxiv.org/abs/1908.07919
cspresnet50,21616168,Other,1,https://arxiv.org/abs/1911.11929
gluon_resnet34_v1b,21797672,CNN,0,https://arxiv.org/abs/1512.03385
resnet34d,21816904,CNN,0,https://arxiv.org/abs/1512.03385
cs3sedarknet_l,21913592,Other,1,https://arxiv.org/abs/1911.11929
dla60,22036632,CNN,0,https://arxiv.org/abs/1707.06484
lamhalobotnet50ts_256,22569824,Other,0,https://arxiv.org/abs/2102.08602
halo2botnet50ts_256,22635360,Other,0,https://arxiv.org/abs/2103.12731
halonet50ts,22733280,Other,0,https://arxiv.org/abs/2103.12731
adv_inception_v3,23834568,CNN,0,https://arxiv.org/abs/1512.00567
gluon_inception_v3,23834568,CNN,0,https://arxiv.org/abs/1512.00567
res2next50,24671464,CNN,0,https://arxiv.org/abs/1904.01169
resnext50d_32x4d,25048136,CNN,0,https://arxiv.org/abs/1611.05431
res2net50_14w_8s,25059816,CNN,0,https://arxiv.org/abs/1904.01169
resnetv2_50,25549352,CNN,0,https://arxiv.org/abs/2110.00476
resnetblur50,25557032,CNN,0,https://arxiv.org/abs/1904.11486
resnetaa50,25557032,CNN,0,https://arxiv.org/abs/2110.00476
ecaresnet50t,25573814,Other,1,https://arxiv.org/abs/1910.03151
ecaresnet50d,25576350,Other,1,https://arxiv.org/abs/1910.03151
gcresnet50t,25897080,Other,0,https://arxiv.org/abs/1904.11492
dla102x,26309272,CNN,0,https://arxiv.org/abs/1707.06484
xception41p,26907752,CNN,0,https://arxiv.org/abs/1610.02357
xception41,26969560,CNN,0,https://arxiv.org/abs/1610.02357
gluon_seresnext50_32x4d,27559896,CNN,0,https://arxiv.org/abs/1709.01507
cspdarknet53,27642184,Other,1,https://arxiv.org/abs/1911.11929
legacy_seresnet50,28088024,CNN,0,https://arxiv.org/abs/1709.01507
repvgg_a2,28210600,CNN,1,https://arxiv.org/abs/2101.03697
convnext_tiny_hnf,28589128,CNN,0,https://arxiv.org/abs/2201.03545
densenet161,28681000,CNN,0,https://arxiv.org/abs/1608.06993
ecaresnetlight,30162046,Other,0,https://arxiv.org/abs/1910.03151
selecsls60,30670768,CNN,0,https://arxiv.org/abs/1907.00837
gernet_l,31078280,CNN,1,https://arxiv.org/abs/2006.14090
selecsls42b,32458248,CNN,0,https://arxiv.org/abs/1907.00837
selecsls60b,32774064,CNN,0,https://arxiv.org/abs/1907.00837
dla102,33268888,CNN,0,https://arxiv.org/abs/1707.06484
resnetrs50,35691912,CNN,0,https://arxiv.org/abs/2103.07579
resnet51q,35696920,CNN,0,https://arxiv.org/abs/2103.07579
darknetaa53,36022984,CNN,0,https://arxiv.org/abs/1804.02767
resnet61q,36846968,CNN,0,https://arxiv.org/abs/2103.07579
dpn92,37668392,CNN,0,https://arxiv.org/abs/1707.01629
xception65p,39819560,CNN,0,https://arxiv.org/abs/1610.02357
gluon_xception65,39916312,CNN,0,https://arxiv.org/abs/1610.02357
dla102x2,41282200,CNN,0,https://arxiv.org/abs/1707.06484
xception71,42338736,CNN,0,https://arxiv.org/abs/1610.02357
twins_pcpvt_base,43828456,Other,0,https://arxiv.org/abs/2104.13840
gluon_resnext101_32x4d,44177704,CNN,0,https://arxiv.org/abs/2103.07579
ecaresnet101d,44568563,Other,1,https://arxiv.org/abs/1910.03151
res2net101_26w_4s,45206688,CNN,0,https://arxiv.org/abs/2103.07579
cs3edgenet_x,47821120,Other,1,https://arxiv.org/abs/1911.11929
gluon_seresnext101_32x4d,48955416,CNN,0,https://arxiv.org/abs/1709.01507
cs3se_edgenet_x,50721584,Other,1,https://arxiv.org/abs/1911.11929
efficientnetv2_rw_m,53236442,CNN,1,https://arxiv.org/abs/2104.00298
dla169,53389720,CNN,0,https://arxiv.org/abs/1707.06484
sequencer2d_l,54298216,Other,0,https://arxiv.org/abs/2205.01972
poolformer_m36,56172520,Other,0,https://arxiv.org/abs/2210.13452
gluon_resnet152_v1b,60192808,CNN,0,https://arxiv.org/abs/2103.07579
resnet152d,60212040,CNN,0,https://arxiv.org/abs/2103.07579
dpn98,61570728,CNN,0,https://arxiv.org/abs/1707.01629
resnetrs101,63618696,CNN,0,https://arxiv.org/abs/2103.07579
resnet200d,64693064,CNN,0,https://arxiv.org/abs/2103.07579
seresnet152d,66841080,Other,0,https://arxiv.org/abs/2103.07579
wide_resnet50_2,68883240,CNN,0,https://arxiv.org/abs/1605.07146
dm_nfnet_f0,71489284,CNN,0,https://arxiv.org/abs/2102.06171
dpn131,79254504,CNN,0,https://arxiv.org/abs/1707.01629
pnasnet5large,86057668,Other,0,https://arxiv.org/abs/1712.00559
resnetrs152,86621576,CNN,0,https://arxiv.org/abs/2103.07579
dpn107,86917800,CNN,0,https://arxiv.org/abs/1707.01629
swinv2_base_window8_256,87918816,Other,0,https://arxiv.org/abs/2111.09883
nasnetalarge,88753150,Other,0,https://arxiv.org/abs/1707.07012
resnetrs200,93209992,CNN,0,https://arxiv.org/abs/2103.07579
seresnext101d_32x8d,93588280,Other,0,https://arxiv.org/abs/2103.07579
seresnextaa101d_32x8d,93588280,Other,0,https://arxiv.org/abs/2103.07579
ecaresnet269d,102093077,Other,1,https://arxiv.org/abs/1910.03151
legacy_senet154,115088984,CNN,0,https://arxiv.org/abs/1709.01507
resnetrs270,129861448,CNN,0,https://arxiv.org/abs/2103.07579
vgg11,132863336,CNN,0,https://arxiv.org/abs/1409.1556
vgg13,133047848,CNN,0,https://arxiv.org/abs/1409.1556
