"name","num_papers","Region","pop","Region_updated"
"United States of America",187800,"North America",333287557,"North America"
"China",142933,"East Asia and Pacific",1412175000,"East Asia and Pacific"
"United Kingdom of Great Britain and Northern Ireland",51511,"Europe",66971395,"Northern Europe"
"India",43215,"Europe",1417173173,"South Asia"
"Germany",27478,"East Asia and Pacific",83797985,"Western Europe"
"Australia",27380,"Europe",26005540,"East Asia and Pacific"
"Canada",24512,"North America",38929902,"North America"
"Korea, Republic of",19249,"South Asia",51628117,"East Asia and Pacific"
"Italy",18720,"Europe",58940425,"Southern Europe"
"Japan",18670,"Latin America & Caribbean",125124989,"East Asia and Pacific"
"France",16361,"East Asia and Pacific",67971311,"Western Europe"
"Spain",15452,"Europe",47778340,"Southern Europe"
"Netherlands",11352,"Europe",17700982,"Western Europe"
"Taiwan, Province of China",9774,"East Asia and Pacific",23893107,"East Asia and Pacific"
"Brazil",8435,"East Asia and Pacific",215313498,"Latin America & Caribbean"
"Sweden",8321,"Europe",10486941,"Northern Europe"
"Singapore",8150,"Europe",5637022,"East Asia and Pacific"
"Indonesia",8088,"Europe",275501339,"East Asia and Pacific"
"Switzerland",8028,"Europe",8775760,"Western Europe"
"Turkey",7682,"Middle East and North Africa",84979913,"Middle East and North Africa"
"Norway",7219,"Europe",49551,"Northern Europe"
"Saudi Arabia",6860,"Middle East and North Africa",36408820,"Middle East and North Africa"
"Iran, Islamic Republic of",6776,"East Asia and Pacific",88550570,"Middle East and North Africa"
"Malaysia",6655,"Latin America & Caribbean",33938221,"East Asia and Pacific"
"Finland",5996,"Europe",5556106,"Northern Europe"
"South Africa",5657,"Europe",59893885,"Sub-Saharan Africa"
"Pakistan",5397,"Middle East and North Africa",4576298,"South Asia"
"Hong Kong",5129,"Europe",7346100,"East Asia and Pacific"
"Belgium",5126,"Europe",11685814,"Western Europe"
"Portugal",5106,"Sub-Saharan Africa",10409704,"Southern Europe"
"Russian Federation",4963,"Europe",144236933,"Eastern Europe"
"Greece",4937,"Europe",10426919,"Southern Europe"
"Denmark",4649,"Middle East and North Africa",5903037,"Northern Europe"
"Israel",4487,"East Asia and Pacific",9557500,"Middle East and North Africa"
"Poland",4323,"Europe",36821749,"Eastern Europe"
"New Zealand",4194,"East Asia and Pacific",5124100,"East Asia and Pacific"
"Austria",4173,"Latin America & Caribbean",9041851,"Western Europe"
"Egypt",3813,"Middle East and North Africa",110990103,"Middle East and North Africa"
"Ireland",3718,"East Asia and Pacific",5127170,"Northern Europe"
"Viet Nam",2989,"Europe",98186856,"East Asia and Pacific"
"Bangladesh",2881,"Latin America & Caribbean",171186372,"South Asia"
"United Arab Emirates",2842,"Europe",9441129,"Middle East and North Africa"
"Mexico",2620,"South Asia",114164,"Latin America & Caribbean"
"Thailand",2525,"Europe",71697030,"East Asia and Pacific"
"Czechia",2341,"Latin America & Caribbean",10672118,"Eastern Europe"
"Romania",2210,"East Asia and Pacific",19047009,"Eastern Europe"
"Morocco",1840,"Europe",32969518,"Middle East and North Africa"
